

----------------------------------------------------------
				Initialize logger


func:GS::DMGraphics::Initialize, line:65|Initialize the Direct3D object ms: 161.126000
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 299; id = 16, name = Romashka.png, file = Romashka.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 0; id = 17, name = noise2d, file = Noise2D.dds
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 2; id = 18, name = grassBlade, file = GrassBlade.jpg
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 26; id = 19, name = grass2.dds, file = grass2.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 21; id = 21, name = oduvanchik, file = oduvanchik.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 0; id = 22, name = alpha03, file = alpha03.dds
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 1; id = 23, name = default_gloss, file = default_gloss.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 10; id = 26, name = t_diffuse, file = terrain\diffuse.dds
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 9; id = 27, name = mask_grass, file = terrain\mask_grass.dds
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 8; id = 28, name = mask_camomile, file = terrain\mask_camomile.dds
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 392; id = 29, name = knot_normal, file = materials\blocksrough_normal_2048.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 8; id = 30, name = mask_rock, file = terrain\mask_rock.dds
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 8; id = 31, name = mask_boulders, file = terrain\mask_boulders.dds
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 9; id = 32, name = mask_snow, file = terrain\mask_snow.dds
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 247; id = 33, name = t_rock, file = materials\slatecliffrock-albedo.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 211; id = 34, name = t_grass, file = materials\mixedmoss-albedo2.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 443; id = 35, name = t_boulders_normal, file = materials\rocky_dirt1-normal-dx_with_height.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 75; id = 36, name = t_snow_normal, file = materials\Snow_003_NORM_H.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 6; id = 37, name = t_rock_normal, file = materials\slatecliffrock_Normal_with_height.dds
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 401; id = 38, name = t_grass_normal, file = materials\mixedmoss-normal2_with_height.PNG
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 11; id = 39, name = t_grass_color, file = terrain\grass_color_d.dds
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 36; id = 40, name = t_snow_hmr, file = materials\Snow_003_HMR.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 203; id = 41, name = t_rock_hmr, file = materials\slatecliffrock_HMR.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 146; id = 42, name = t_boulders_hmr, file = materials\rocky_dirt1-HMR.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 165; id = 43, name = t_grass_hmr, file = materials\mixedmoss-HMR.png
func:LibraryLoader::loadTexture, line:56|Load texture for ms: 24; id = 44, name = knot_height, file = materials\blocksrough_height_2048.png
func:GS::DMGraphics::Initialize, line:116|Load textures for ms: 4641.319000
func:GS::DMGraphics::Initialize, line:123|Create main camera
func:GS::DMGraphics::Initialize, line:137|Create light driver
func:GS::DMGraphics::Initialize, line:149|Terrain init ms: 35.281000
func:GS::DMGraphics::Initialize, line:160|Grass init ms: 158.255000
func:GS::DMGraphics::Initialize, line:171|Total init ms: 81226.834000


Close logger

<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
